"Name of Covered Entity","State","Covered Entity Type","Individuals Affected","Breach Submission Date","Type of Breach","Location of Breached Information","Business Associate Present","Web Description"
"Raveco Medical","NY","Healthcare Provider","4897","01/17/2022","Hacking/IT Incident","Network Server","No",""
"Volunteers of America Southwest California","CA","Healthcare Provider","1300","01/14/2022","Hacking/IT Incident","Email","No",""
"Fiondella, Milone & LaSaracina, LLP","CT","Business Associate","6215","01/14/2022","Hacking/IT Incident","Network Server","Yes",""
"Albany Family Dentistry","MN","Healthcare Provider","1117","01/14/2022","Hacking/IT Incident","Email","No",""
"South City Hospital","MO","Healthcare Provider","21601","01/14/2022","Theft","Network Server, Other","No",""
"Vantage Holding Company, LLC","PA","Healthcare Provider","1762","01/14/2022","Hacking/IT Incident","Network Server","No",""
"Digital Insurance, LLC doing business as OneDigital","GA","Business Associate","2051","01/14/2022","Hacking/IT Incident","Network Server","Yes",""
"Oscar Insurance Company of Florida","FL","Health Plan","6290","01/13/2022","Unauthorized Access/Disclosure","Paper/Films","No",""
"Oscar Insurance Corporation of Ohio","OH","Health Plan","504","01/13/2022","Unauthorized Access/Disclosure","Paper/Films","No",""
"Oscar Health Plan of California","NJ","Health Plan","7632","01/13/2022","Unauthorized Access/Disclosure","Paper/Films","No",""
"Oscar Buckeye State Insurance Corporation","OH","Health Plan","791","01/13/2022","Unauthorized Access/Disclosure","Paper/Films","No",""
"Millennium Eye Care LLC","NJ","Healthcare Provider","6050","01/13/2022","Hacking/IT Incident","Network Server","No",""
"Hospital Authority of Valdosta and Lowndes County Georgia ","GA","Healthcare Provider","41692","01/12/2022","Unauthorized Access/Disclosure","Desktop Computer","No",""
"Deerbrook Cath Lab LLC","TX","Business Associate","2364","01/11/2022","Hacking/IT Incident","Network Server","Yes",""
"Lakeshore Bone & Joint Institute, PC","IN","Healthcare Provider","23627","01/10/2022","Hacking/IT Incident","Email","No",""
"Heart ‘n Home Hospice","ID","Healthcare Provider","4769","01/07/2022","Hacking/IT Incident","Email","No",""
"Medical Review Institute of America","UT","Business Associate","134571","01/07/2022","Hacking/IT Incident","Network Server","Yes",""
"DataXport","TX","Business Associate","8181","01/07/2022","Hacking/IT Incident","Network Server","Yes",""
"Suncoast Skin Solutions","FL","Healthcare Provider","57730","01/07/2022","Hacking/IT Incident","Network Server","No",""
"TTEC Healthcare Solutions","CO","Business Associate","86305","01/07/2022","Hacking/IT Incident","Network Server","Yes",""
"Advent Health Partners, Inc.","TN","Business Associate","1383","01/06/2022","Hacking/IT Incident","Email","Yes",""
"NYU Langone Hospitals","NY","Healthcare Provider","1123","01/06/2022","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"Houston Area Community Services, Inc. d/b/a Avenue 360 Health and Wellness","TX","Healthcare Provider","12186","01/05/2022","Hacking/IT Incident","Email","No",""
"Ravkoo","FL","Healthcare Provider","105000","01/03/2022","Hacking/IT Incident","Other","No",""
"Brockton Hospital, Inc. d/b/a Signature Healthcare Brockton Hospital","MA","Healthcare Provider","9798","01/03/2022","Hacking/IT Incident","Email","No",""
"North Broward Hospital District d/b/a Broward Health (“Broward Health”)","FL","Healthcare Provider","1351431","01/02/2022","Hacking/IT Incident","Network Server","No",""
"Virtual Private Network Solutions, LLC d/b/a VPN Solutions, LLC","VA","Business Associate","500","12/30/2021","Hacking/IT Incident","Network Server","Yes",""
"Dr. Kochurani Puthumana","VA","Healthcare Provider","5000","12/30/2021","Hacking/IT Incident","Network Server","Yes",""
"A New Leaf, Inc.","AZ","Healthcare Provider","10438","12/30/2021","Hacking/IT Incident","Network Server","No",""
"Ciox Health","GA","Business Associate","12493","12/30/2021","Hacking/IT Incident","Email","Yes",""
"Granite Falls Family Medical Care Center","NC","Healthcare Provider","1000","12/30/2021","Hacking/IT Incident","Network Server","Yes",""
"Anthem Affiliated Covered Entities","IN","Health Plan","7032","12/30/2021","Hacking/IT Incident","Network Server","Yes",""
"Barlow Respiratory Hospital","CA","Healthcare Provider","9880","12/30/2021","Hacking/IT Incident","Network Server","No",""
"Loyola University Medical Center","IL","Healthcare Provider","16934","12/30/2021","Hacking/IT Incident","Email","No",""
"Sage Medical Professionals LLC","SD","Business Associate","2138","12/29/2021","Hacking/IT Incident","Network Server","Yes",""
"Hoya Optical Labs of America, Inc.","TX","Business Associate","14099","12/29/2021","Hacking/IT Incident","Network Server","Yes",""
"Douglas C Morrow ODPC","IN","Healthcare Provider","5269","12/28/2021","Hacking/IT Incident","Network Server","No",""
"Pithadia Medical Professional Services, Inc.","IN","Healthcare Provider","1624","12/28/2021","Hacking/IT Incident","Network Server","No",""
"Advocate Aurora Health","WI","Healthcare Provider","1729","12/28/2021","Loss","Paper/Films","No",""
"Florida Digestive Health Specialists, LLP","FL","Healthcare Provider","212509","12/27/2021","Unauthorized Access/Disclosure","Email, Other","No",""
"Walgreen Co.","IL","Healthcare Provider","1352","12/27/2021","Loss","Paper/Films","No",""
"Fertility Centers of Illinois, PLLC","IL","Healthcare Provider","79943","12/27/2021","Hacking/IT Incident","Network Server","No",""
"MedQuest Pharmacy, Inc.","UT","Healthcare Provider","39447","12/23/2021","Hacking/IT Incident","Network Server","No",""
"C.E. Niehoff & Company ","IL","Health Plan","1509","12/23/2021","Hacking/IT Incident","Network Server","No",""
"Duneland School Corporation","IN","Health Plan","7000","12/23/2021","Hacking/IT Incident","Network Server","No",""
"Daniel J. Edelman Holdings, Inc.","IL","Health Plan","184500","12/22/2021","Hacking/IT Incident","Network Server","Yes",""
"James Kagan, MD","CO","Healthcare Provider","1310","12/22/2021","Hacking/IT Incident","Email","No",""
"Welfare, Pension and Annuity Funds of Local No. ONE, I.A.T.S.E.","NY","Health Plan","20579","12/21/2021","Hacking/IT Incident","Email","No",""
"Rhode Island Public Transit Authority","RI","Health Plan","5015","12/21/2021","Hacking/IT Incident","Network Server","No",""
"Georgia Bone & Joint Surgeons, P.C.","GA","Healthcare Provider","6787","12/21/2021","Hacking/IT Incident","Network Server","No",""
"Chaddock","IL","Healthcare Provider","777","12/21/2021","Theft","Paper/Films","No",""
"Monongalia Health System, Inc.","WV","Healthcare Provider","398164","12/21/2021","Hacking/IT Incident","Email","No",""
"Skin Care Specialty Physicians","MD","Healthcare Provider","1553","12/21/2021","Theft","Paper/Films","No",""
"W. Emery Reynolds, M.D","OK","Business Associate","1844","12/21/2021","Hacking/IT Incident","Network Server","Yes",""
"Fast Medical Center","OK","Business Associate","901","12/21/2021","Hacking/IT Incident","Network Server","Yes",""
"Alabama Department of Rehabilitation Services","AL","Healthcare Provider","934","12/20/2021","Improper Disposal","Other Portable Electronic Device","No",""
"Southern Orthopaedic Associates d/b/a Orthopaedic Institute of Western Kentucky ","KY","Healthcare Provider","106910","12/20/2021","Hacking/IT Incident","Email","No",""
"Surgery Group SC","IL","Healthcare Provider","500","12/17/2021","Hacking/IT Incident","Network Server","Yes",""
"Northwest Broward Orthopaedics Associates","FL","Healthcare Provider","500","12/17/2021","Hacking/IT Incident","Desktop Computer, Network Server","No",""
"Apple Blossom Family Practice","VA","Healthcare Provider","12053","12/16/2021","Hacking/IT Incident","Network Server","Yes",""
"Andrew Sauchelli, DMD","FL","Health Plan","3416","12/16/2021","Hacking/IT Incident","Network Server","No",""
"Oregon Eye Specialists","OR","Healthcare Provider","42612","12/13/2021","Hacking/IT Incident","Network Server","No",""
"Texas ENT Specialists","TX","Healthcare Provider","535489","12/10/2021","Hacking/IT Incident","Network Server","No",""
"BioPlus Specialty Pharmacy Services, LLC","FL","Healthcare Provider","350000","12/10/2021","Hacking/IT Incident","Network Server","No",""
"Eduro Healthcare, LLC","UT","Healthcare Provider","8059","12/09/2021","Hacking/IT Incident","Email","No",""
"Sacramento County Department of Health Services","CA","Healthcare Provider","2096","12/09/2021","Hacking/IT Incident","Email","No",""
"Weddell Pediatric Dental Specialists, LLC","IN","Healthcare Provider","5356","12/08/2021","Hacking/IT Incident","Email","No",""
"Javery Pain Institute ","MI","Healthcare Provider","1387","12/08/2021","Hacking/IT Incident","Email","No",""
"OSR Physical Therapy","AZ","Healthcare Provider","714","12/07/2021","Hacking/IT Incident","Email","No",""
"Wind River Family and Community Health Care","WY","Healthcare Provider","12938","12/07/2021","Unauthorized Access/Disclosure","Email","No",""
"Summit Surgical, LLC","KS","Healthcare Provider","4910","12/07/2021","Hacking/IT Incident","Network Server","No",""
"Hope Group LLC","AZ","Healthcare Provider","1510","12/07/2021","Hacking/IT Incident","Email","No",""
"Oregon Anesthesiology Group, P.C.","OR","Healthcare Provider","750500","12/06/2021","Hacking/IT Incident","Network Server","No",""
"Nippon Life Insurance Company of America","NY","Health Plan","4109","12/03/2021","Unauthorized Access/Disclosure","Email","No",""
"Bansley and Kiener, LLP","IL","Business Associate","50119","12/03/2021","Hacking/IT Incident","Network Server","Yes",""
"Bansley and Kiener, LLP","IL","Business Associate","2297","12/03/2021","Hacking/IT Incident","Network Server","Yes",""
"Bansley and Kiener, LLP","IL","Business Associate","2711","12/03/2021","Hacking/IT Incident","Network Server","Yes",""
"Bansley and Kiener, LLP","IL","Business Associate","15814","12/03/2021","Hacking/IT Incident","Network Server","Yes",""
"Mertz Manufacturing Inc Health Insurance Plan","OK","Health Plan","868","12/03/2021","Hacking/IT Incident","Network Server","No",""
"Department of Behavioral Health and Developmental Services","VA","Healthcare Provider","4037","12/03/2021","Unauthorized Access/Disclosure","Other","No",""
"Great Plains Manufacturing, Inc","KS","Health Plan","4110","12/01/2021","Hacking/IT Incident","Network Server","No",""
"Roy Varughese, M.D.","TX","Healthcare Provider","2916","12/01/2021","Hacking/IT Incident","Email","No",""
"Planned Parenthood Los Angeles","CA","Healthcare Provider","409759","11/30/2021","Hacking/IT Incident","Network Server","No",""
"Commission on Economic Opportunity","NY","Business Associate","29454","11/30/2021","Hacking/IT Incident","Network Server","Yes",""
"AMITA Health Medical Group Primary Care Hoffman Estates","IL","Healthcare Provider","1647","11/30/2021","Unauthorized Access/Disclosure","Email","No",""
"Sound Generations","WA","Business Associate","103576","11/29/2021","Hacking/IT Incident","Network Server","Yes",""
"Broward County Public Schools","FL","Health Plan","49608","11/29/2021","Hacking/IT Incident","Network Server","No",""
"Boulder Neurosurgical and Spine Associates","CO","Healthcare Provider","21450","11/29/2021","Hacking/IT Incident","Email","No",""
"Region IV Area Agency on Aging","MI","Health Plan","3171","11/29/2021","Hacking/IT Incident","Email","No",""
"Amistad Family Services","NM","Healthcare Provider","2915","11/29/2021","Theft","Other Portable Electronic Device","No",""
"Medsurant Holdings, LLC","PA","Healthcare Provider","45000","11/29/2021","Hacking/IT Incident","Network Server","No",""
"Neuro Rehab Associates, Inc. d/b/a Northeast Rehabilitation Hospital Network","NH","Healthcare Provider","501","11/29/2021","Hacking/IT Incident","Network Server","No",""
"WyndRidge Health and Rehabilitation Center","TN","Healthcare Provider","2202","11/26/2021","Hacking/IT Incident","Network Server","No",""
"Upstate HomeCare","NY","Healthcare Provider","5114","11/24/2021","Hacking/IT Incident","Network Server","No",""
"Huntington Hospital","NY","Healthcare Provider","12925","11/24/2021","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Minnesota Women's Care, P.A.","MN","Healthcare Provider","1900","11/24/2021","Unauthorized Access/Disclosure","Paper/Films","No",""
"Quantum Imaging and Therapeutics Associates, Inc.","PA","Healthcare Provider","394506","11/24/2021","Hacking/IT Incident","Network Server","No",""
"Boston Medical Center","MA","Healthcare Provider","723","11/24/2021","Unauthorized Access/Disclosure","Email","No",""
"OAA Orthopaedic Associates","PA","Healthcare Provider","18052","11/23/2021","Hacking/IT Incident","Network Server","No",""
"Howard University College of Dentistry","DC","Healthcare Provider","80915","11/23/2021","Hacking/IT Incident","Electronic Medical Record, Network Server","No",""
"TriValley Primary Care","PA","Healthcare Provider","57468","11/23/2021","Hacking/IT Incident","Network Server","No",""
"One Community Health","OR","Healthcare Provider","39865","11/22/2021","Hacking/IT Incident","Network Server","No",""
"Washington County School District","UT","Business Associate","39317","11/22/2021","Hacking/IT Incident","Network Server","Yes",""
"Onondaga County Chapter NYSARC, Inc. ","NY","Healthcare Provider","5425","11/19/2021","Hacking/IT Incident","Network Server","No",""
"Colorado Allergy and Asthma Centers, PC","CO","Healthcare Provider","791","11/19/2021","Hacking/IT Incident","Email","No",""
"United Health Centers of the San Joaquin Valley","CA","Healthcare Provider","500","11/19/2021","Hacking/IT Incident","Network Server","No",""
"Saltzer Health","ID","Healthcare Provider","15650","11/19/2021","Hacking/IT Incident","Email","No",""
"Anthem, Inc.","IN","Business Associate","2003","11/19/2021","Hacking/IT Incident","Network Server","Yes",""
"Sentara Healthcare","VA","Healthcare Provider","72121","11/19/2021","Hacking/IT Incident","Network Server","Yes",""
"Blue Shield of California","CA","Health Plan","1520","11/19/2021","Hacking/IT Incident","Network Server","Yes",""
"Episcopal Retirement Services","OH","Healthcare Provider","4133","11/18/2021","Hacking/IT Incident","Network Server","No",""
"Marietta Area Health Care Inc. dba Memorial Health System","OH","Healthcare Provider","501","11/17/2021","Hacking/IT Incident","Network Server","No",""
"True Health New Mexico","NM","Health Plan","62983","11/17/2021","Hacking/IT Incident","Network Server","No",""
"Austin Perio Health ","TX","Healthcare Provider","4339","11/17/2021","Hacking/IT Incident","Email","No",""
"Magnet Solutions, Inc.","NE","Business Associate","1553","11/15/2021","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"Citizens Financial Corporation","KY","Business Associate","688","11/15/2021","Unauthorized Access/Disclosure","Other","Yes",""
"Sarasota MRI ","FL","Healthcare Provider","39962","11/12/2021","Unauthorized Access/Disclosure","Network Server","No",""
"Weill Cornell Medicine","NY","Healthcare Provider","6283","11/12/2021","Hacking/IT Incident","Email","No",""
"University of Houston for UH College of Optometry","TX","Healthcare Provider","18500","11/12/2021","Hacking/IT Incident","Network Server","No",""
"The Kroger Co., for itself and its affiliates and subsidiaries","OH","Healthcare Provider","2686","11/12/2021","Theft","Laptop, Paper/Films","No",""
"The Centers for Advanced Orthopaedics, LLC","MD","Healthcare Provider","21162","11/11/2021","Hacking/IT Incident","Network Server","No",""
"Tom Wood Inc. Health Care Plan","IN","Health Plan","2235","11/11/2021","Hacking/IT Incident","Network Server","No",""
"Ophthalmology Associates","MN","Healthcare Provider","67000","11/11/2021","Hacking/IT Incident","Electronic Medical Record, Network Server","No",""
"St. Anne’s Family Services","CA","Healthcare Provider","661","11/10/2021","Hacking/IT Incident","Network Server","No",""
"Integrated Services of Kalamazoo","MI","Healthcare Provider","3754","11/10/2021","Hacking/IT Incident","Email","No",""
"North Spring Behavioral Healthcare, Inc.","VA","Healthcare Provider","3245","11/09/2021","Hacking/IT Incident","Electronic Medical Record","Yes",""
"Vitreo-Retinal Medical Group, Inc. d/b/a Retinal Consultants Medical Group","CA","Healthcare Provider","11603","11/09/2021","Hacking/IT Incident","Network Server","No",""
"Valley Mountain Regional Center","CA","Business Associate","17197","11/09/2021","Hacking/IT Incident","Email","Yes",""
"Continental American Insurance Company","SC","Health Plan","623","11/08/2021","Unauthorized Access/Disclosure","Paper/Films","No",""
"Seneca Family of Agencies","CA","Business Associate","19725","11/05/2021","Hacking/IT Incident","Network Server","Yes",""
"The Urology Center of Colorado","CO","Healthcare Provider","137820","11/05/2021","Hacking/IT Incident","Network Server","No",""
"University of North Carolina Health","NC","Healthcare Provider","946","11/05/2021","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Association to Benefit Children","NY","Healthcare Provider","9142","11/05/2021","Hacking/IT Incident","Email","No",""
"University Hospital  ","NJ","Healthcare Provider","10067","11/05/2021","Unauthorized Access/Disclosure","Other","No",""
"Three Rivers Regional Commission","GA","Business Associate","2000","11/05/2021","Hacking/IT Incident","Network Server","Yes",""
"Mowery Clinic LLC","KS","Healthcare Provider","96000","11/05/2021","Hacking/IT Incident","Network Server","No",""
"Envision Home Health and Hospice","UT","Healthcare Provider","5381","11/05/2021","Unauthorized Access/Disclosure","Email","No",""
"New York Psychotherapy and Counseling Center","NY","Healthcare Provider","28000","11/05/2021","Hacking/IT Incident","Network Server","No",""
"Maxim Healthcare Group","MD","Healthcare Provider","65267","11/04/2021","Hacking/IT Incident","Email","No",""
"Consociate, Inc.","IL","Business Associate","48583","11/03/2021","Hacking/IT Incident","Network Server","Yes",""
"Putnam County Memorial Hospital","MO","Healthcare Provider","6916","11/03/2021","Hacking/IT Incident","Network Server","No",""
"JEV Plastic Surgery & Medical Aesthetics","MD","Healthcare Provider","1620","11/03/2021","Hacking/IT Incident","Network Server","No",""
"Baywood Medical Associates, PLC dba Desert Pain Institute","AZ","Healthcare Provider","45262","11/03/2021","Hacking/IT Incident","Network Server","No",""
"Utah Imaging Associates, Inc.","UT","Healthcare Provider","582170","11/03/2021","Hacking/IT Incident","Network Server","No",""
"Victory Health Partners","AL","Healthcare Provider","30000","11/02/2021","Hacking/IT Incident","Network Server","No",""
"Anne Arundel Medical Center","MD","Healthcare Provider","500","11/02/2021","Hacking/IT Incident","Email","No",""
"Washington DC VA Medical Center","DC","Healthcare Provider","1193","11/01/2021","Unauthorized Access/Disclosure","Email","No",""
"Sea Mar Community Health Centers","WA","Healthcare Provider","688000","10/30/2021","Hacking/IT Incident","Network Server","No",""
"Pottawatomie County Health Department","KS","Healthcare Provider","6000","10/30/2021","Hacking/IT Incident","Network Server","No",""
"Surecare Specialty Pharmacy","TX","Healthcare Provider","8412","10/29/2021","Hacking/IT Incident","Network Server","No",""
"NHS Management, LLC","AL","Business Associate","501","10/29/2021","Hacking/IT Incident","Network Server","Yes",""
"Viverant PT, LLC","MN","Healthcare Provider","6540","10/29/2021","Hacking/IT Incident","Email","No",""
"Nationwide Laboratory Services","FL","Healthcare Provider","33437","10/28/2021","Hacking/IT Incident","Network Server","No",""
"Professional Healthcare Management, Inc. ","TN","Healthcare Provider","12306","10/28/2021","Hacking/IT Incident","Network Server","No",""
"California Physicians' Services d/b/a Blue Shield of California","CA","Health Plan","2841","10/27/2021","Hacking/IT Incident","Network Server","Yes",""
"Seneca Family of Agencies","CA","Healthcare Provider","2470","10/26/2021","Hacking/IT Incident","Network Server","No",""
"Samaritan Daytop Village, Inc.","NY","Healthcare Provider","15459","10/26/2021","Hacking/IT Incident","Network Server","No",""
"Community Medical Centers, Inc.","CA","Healthcare Provider","656047","10/26/2021","Hacking/IT Incident","Network Server","No",""
"Lincare Holdings Inc.","FL","Healthcare Provider","500","10/26/2021","Hacking/IT Incident","Network Server","No",""
"ROSE H BAILEY DDS","WA","Healthcare Provider","3000","10/26/2021","Hacking/IT Incident","Desktop Computer","No",""
"Walmart, Inc.","AR","Healthcare Provider","828","10/26/2021","Loss","Laptop","No",""
"Foundation for Medical Care of Tulare and Kings Counties","CA","Business Associate","1835","10/26/2021","Theft","Other Portable Electronic Device","Yes",""
"Painters District Council No. 30 Health and Welfare Fund","IL","Health Plan","2157","10/25/2021","Hacking/IT Incident","Email","No",""
"Bryan Health","NE","Healthcare Provider","2753","10/25/2021","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Throckmorton County Memorial Hospital","TX","Healthcare Provider","3028","10/22/2021","Hacking/IT Incident","Network Server","No",""
"Star Group, L.P. Health Benefits Plan ","CT","Health Plan","9316","10/22/2021","Hacking/IT Incident","Network Server","No",""
"Educators Mutual Insurance Association","UT","Health Plan","8661","10/22/2021","Hacking/IT Incident","Network Server","No",""
"QRS, Inc.","TN","Business Associate","319778","10/22/2021","Hacking/IT Incident","Network Server","Yes",""
"Missouri Delta Medical Center ","IL","Healthcare Provider","500","10/21/2021","Hacking/IT Incident","Network Server","No",""
"Lavaca Medical Center","TX","Healthcare Provider","48705","10/21/2021","Hacking/IT Incident","Network Server","No",""
"UNC Hospitals","NC","Healthcare Provider","719","10/19/2021","Unauthorized Access/Disclosure","Desktop Computer, Electronic Medical Record","No",""
"Redwoods Rural Health Center","CA","Healthcare Provider","2306","10/18/2021","Unauthorized Access/Disclosure","Email","No",""
"Medical Practice Solutions","MS","Business Associate","501","10/18/2021","Unauthorized Access/Disclosure","Desktop Computer","Yes",""
"Family of Woodstock","NY","Healthcare Provider","8214","10/17/2021","Hacking/IT Incident","Network Server","No",""
"Limeade, Inc.","WA","Business Associate","2287","10/15/2021","Unauthorized Access/Disclosure","Desktop Computer, Other Portable Electronic Device","Yes",""
"UMass Memorial Health Care, Inc.","MA","Business Associate","209048","10/15/2021","Hacking/IT Incident","Email","Yes",""
"Syracuse ASC, LLC","NY","Healthcare Provider","24891","10/14/2021","Hacking/IT Incident","Network Server","No",""
"Clinical Pathology Diagnostics, LLC","CT","Healthcare Provider","2500","10/12/2021","Hacking/IT Incident","Email","Yes",""
"Orange County Health Authority","CA","Health Plan","4732","10/12/2021","Unauthorized Access/Disclosure","Paper/Films","No",""
"North East Ohio Network","OH","Healthcare Provider","3555","10/08/2021","Hacking/IT Incident","Email","No",""
"ReproSource Fertility Diagnostics, Inc.","MA","Healthcare Provider","350000","10/08/2021","Hacking/IT Incident","Network Server","No",""
"University Hospital","NJ","Healthcare Provider","9329","10/08/2021","Unauthorized Access/Disclosure","Electronic Medical Record, Other","No",""
"Independent Health Corporation","NY","Business Associate","541","10/08/2021","Unauthorized Access/Disclosure","Email","Yes",""
"Senior Living, LLC and Pilgrim River, LLC ","NJ","Healthcare Provider","3952","10/07/2021","Hacking/IT Incident","Network Server","No",""
"JDC Healthcare Management LLC","TX","Healthcare Provider","501","10/07/2021","Hacking/IT Incident","Network Server","No",""
"Carteret Health Care","NC","Healthcare Provider","1235","10/06/2021","Theft","Paper/Films","No",""
"Wirt County Health Services Association d/b/a Coplin Health Systems","WV","Healthcare Provider","2643","10/05/2021","Unauthorized Access/Disclosure","Paper/Films","No",""
"Rockbridge Area Community Services Board","VA","Healthcare Provider","2000","10/04/2021","Hacking/IT Incident","Network Server","No",""
"Dormant: Professional Dental Alliance of Florida, LLC","PA","Healthcare Provider","18626","10/01/2021","Unauthorized Access/Disclosure","Email","No",""
"Dormant: Professional Dental Alliance of Georgia, PLLC","PA","Healthcare Provider","23974","10/01/2021","Unauthorized Access/Disclosure","Email","No",""
"Dormant: Professional Dental Alliance of Illinois, PLLC","PA","Healthcare Provider","16673","10/01/2021","Unauthorized Access/Disclosure","Email","No",""
"Dormant: Professional Dental Alliance of Massachusetts","PA","Healthcare Provider","607","10/01/2021","Unauthorized Access/Disclosure","Email","No",""
"Dormant: Professional Dental Alliance of Michigan, PLLC","PA","Healthcare Provider","26054","10/01/2021","Unauthorized Access/Disclosure","Email","No",""
"Professional Dental Alliance, LLC","PA","Healthcare Provider","47173","10/01/2021","Unauthorized Access/Disclosure","Email","No",""
"Dormant: NADG Hopewell, Inc.","PA","Healthcare Provider","1143","10/01/2021","Unauthorized Access/Disclosure","Email","No",""
"Dormant: Professional Dental Alliance of Indiana, PLLC","PA","Healthcare Provider","7359","10/01/2021","Unauthorized Access/Disclosure","Email","No",""
"Dormant: Professional Dental Alliance of Connecticut, PLLC","PA","Healthcare Provider","6237","10/01/2021","Unauthorized Access/Disclosure","Email","No",""
"Dormant: Professional Dental Alliance of Tennessee, LLC","PA","Healthcare Provider","11217","10/01/2021","Unauthorized Access/Disclosure","Email","No",""
"OSF HealthCare System","IL","Healthcare Provider","53907","10/01/2021","Hacking/IT Incident","Network Server","No",""
"Dormant: Professional Dental Alliance of New York, PLLC","PA","Healthcare Provider","10778","10/01/2021","Unauthorized Access/Disclosure","Email","No",""
"Eskenazi Health","IN","Healthcare Provider","1515918","10/01/2021","Hacking/IT Incident","Network Server","No",""
"Dormant: Professional Dental Alliance of Texas, PLLC","PA","Healthcare Provider","4235","10/01/2021","Unauthorized Access/Disclosure","Email","No",""
"Premier Management Company ","TX","Healthcare Provider","37636","09/30/2021","Unauthorized Access/Disclosure","Laptop, Other, Other Portable Electronic Device","No",""
"Lakewood Manor Baptist Retirement Community, Inc. d/b/a Lakewood ","VA","Healthcare Provider","1205","09/27/2021","Hacking/IT Incident","Email","No",""
"Zenith American Solutions","WA","Business Associate","1907","09/24/2021","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"Digital Insurance, LLC doing business as OneDigital","GA","Health Plan","895","09/24/2021","Hacking/IT Incident","Network Server","No",""
"Griffith Energy Services Inc. Welfare Benefit Plan","MD","Health Plan","500","09/24/2021","Hacking/IT Incident","Network Server","No",""
"Epilepsy Foundation of Texas ","TX","Healthcare Provider","2824","09/24/2021","Hacking/IT Incident","Email","No",""
"The Menninger Clinic","TX","Healthcare Provider","1365","09/24/2021","Hacking/IT Incident","Email","No",""
"Navistar, Inc. Health Plan and the Navistar, Inc. Retiree Health Benefit and Life Insurance Plan","IL","Health Plan","49000","09/24/2021","Hacking/IT Incident","Network Server","No",""
"State of Alaska Department of Health & Social Services","AK","Health Plan","500000","09/22/2021","Hacking/IT Incident","Desktop Computer, Laptop, Network Server","No",""
"Aetna ACE","CT","Health Plan","1011","09/22/2021","Hacking/IT Incident","Email","Yes",""
"Cerebral Medical Group","FL","Healthcare Provider","875","09/21/2021","Unauthorized Access/Disclosure","Other","No",""
"GYN Emergent Care Center","CA","Healthcare Provider","5080","09/21/2021","Loss","Paper/Films","No",""
"McAllen Surgical Specialty Center, Ltd.","TX","Healthcare Provider","29227","09/20/2021","Hacking/IT Incident","Desktop Computer, Electronic Medical Record, Laptop, Network Server","No",""
"Illinois Department of Human Services and Illinois Department of Healthcare and Family Services ","IL","Healthcare Provider","1960","09/20/2021","Hacking/IT Incident","Network Server","No",""
"Georgia Department of Human Services ","GA","Healthcare Clearing House","500","09/17/2021","Hacking/IT Incident","Network Server","Yes",""
"Horizon House, Inc.","PA","Healthcare Provider","27823","09/17/2021","Hacking/IT Incident","Network Server","No",""
"Orlick & Kasper, M.D.'s, P.A.","FL","Healthcare Provider","30000","09/17/2021","Theft","Desktop Computer, Electronic Medical Record, Other Portable Electronic Device","No",""
"Welfare & Pension Administration Service, Inc.","WA","Health Plan","545","09/17/2021","Hacking/IT Incident","Network Server","No",""
"Famous Enterprises Inc. Employee Benefit Plan","OH","Health Plan","528","09/17/2021","Hacking/IT Incident","Network Server","No",""
"Samaritan Center of Puget Sound","WA","Healthcare Provider","20866","09/15/2021","Theft","Desktop Computer, Network Server","No",""
"Directions for Living","FL","Healthcare Provider","19494","09/15/2021","Hacking/IT Incident","Network Server","No",""
"Simon Eye Management","DE","Healthcare Provider","144373","09/14/2021","Hacking/IT Incident","Email","No",""
"Eastern Los Angeles Regional Center","CA","Business Associate","12921","09/13/2021","Hacking/IT Incident","Email","Yes",""
"Indian Creek Foundation","PA","Healthcare Provider","2405","09/13/2021","Hacking/IT Incident","Network Server","No",""
"Abeo Solutions Inc. d/b/a Crystal Practice Management ","TX","Business Associate","4774","09/13/2021","Hacking/IT Incident","Network Server","Yes",""
"Buddhist Tzu Chi Medical Foundation","CA","Healthcare Provider","18968","09/13/2021","Hacking/IT Incident","Network Server","No",""
"Consumer Direct Care Network Arizona","AZ","Healthcare Provider","504","09/10/2021","Hacking/IT Incident","Email","No",""
"Talbert House","OH","Healthcare Provider","45000","09/10/2021","Hacking/IT Incident","Network Server","No",""
"Rehabilitation Support Services, Inc.","NY","Healthcare Provider","23907","09/10/2021","Hacking/IT Incident","Network Server","No",""
"Central Texas Medical Specialists, PLLC dba Austin Cancer Centers","TX","Healthcare Provider","36503","09/10/2021","Hacking/IT Incident","Network Server","No",""
"CVS Pharmacy","RI","Healthcare Provider","826","09/10/2021","Theft","Paper/Films","No",""
"Vista Radiology, P.C.","TN","Healthcare Provider","3634","09/09/2021","Hacking/IT Incident","Network Server","No",""
"HBP Financial Services Group, LTD","CT","Business Associate","938","09/08/2021","Hacking/IT Incident","Email","Yes",""
"Radiology Associates of Albuquerque, PA and Advanced Imaging, LLC","NM","Healthcare Provider","501","09/08/2021","Hacking/IT Incident","Network Server","No",""
